Class,address,age,block,creator,direction,inter_direction,txFee,txhash,txn_type,type,value
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539617568,6522479.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x58a26d832c09b93193ffa2e6ba9a965acf3ed2058f4aa7f5b857e2c914555335,internal,call,0.151267796610169 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539099727,6485574.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x8b46e9fe575422790a91c0f12203d2ac99413d250bb77224deb86d579cbfee63,internal,call,0.169491525423728 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539749025,6528719.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x8b02e73e53598155b40481a2523d2c92ccbf0b1076941961448790f1aa4b6436,internal,call,0.16922033898305 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539185157,6491677.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x908a8f785573fc9cee9461a808b01a4a3ca085c605150148778183248c065d0c,internal,call,0.165505084745762 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540573928,6590242.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x93836ac0952ac959526f0a2a24ee58590520d9c6ab2449012e294d8d5e6c30bb,internal,call,0.166454237288135 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539318851,6498118.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x2dbf9d5587c318ba6b76ef486854e79d6d5132124a62a8c5951a25a0e952ce91,internal,call,0.174671186440677 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540222738,6565292.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xfa3b9a9534e685e5c29cbf6b2d5f2dc671ddf9b04a34cc951de1d6e09d49d874,internal,call,0.169084745762711 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540400597,6577963.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xa9af251c6c9d43bd2b69d930f0dbeafc78c5f7c8f0b5761894c6224dd582dfb8,internal,call,0.167674576271186 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540487242,6584104.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x1286c7da0be088e9af1188555af41b6107b9503750c89aa4505ca136165e9fa3,internal,call,0.166535593220338 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539961140,6546803.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x9c5253997529df92e6cd1da4fc72563b7f8a170005eef3639006e924379c861a,internal,call,0.169816949152542 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539790239,6534716.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xbcf29cfae6c46e16d21e2a737e1c7f217d10d982f91bfacdcf7641d6bef6992f,internal,call,0.162630508474576 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539872268,6540541.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x64578ef331e0872f75a4e412875373808c5e280e0783e9b88cbe02f50a0a3fad,internal,call,0.157966101694915 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540701530,6596193.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xc88f9c7cac97a17b10c962c57f3a515a671fb676c19ea9b1867400596ff993fc,internal,call,0.161383050847457 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1541007480,6620861.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x604b80baa9e7ec72ceb40b049d08cabc8195d70131b2210c802766ed9e5cacbe,internal,call,0.031349152542372 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1539538710,6516901.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x32253c5a034bb0f0c6d79fe6981afb082a6cfbc4643ef80c4d93c2587e69b776,internal,call,0.509369491525423 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540356913,6571780.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x6a4cc61027723d2f0053b9680685a1936e3d5c0cc9ab7d88541810f29f3d6fea,internal,call,0.175945762711864 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540134052,6559057.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x4a6f992934fab2722a6d952d642dc99c272dbeb4a3513129baae8da7de1d6b3a,internal,call,0.165911864406779 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540047263,6552939.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x7cc5a5fe9154de9353fd4e0e4d757649d4385477d0393cae2731ee34d0e0cf32,internal,call,0.1664 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540990304,6619705.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0x4bce4e0171d1270e029d58fad3353425f06dee498c58edab6385d99d3198bdd2,internal,call,0.315769491525423 Ether
1,0xb10ea0d397db942a1083a4af9c6074ab63bc8c8b,1540825725,6608061.0,0x65b041db3135ed5f76d9486aa56f8ca5dc9a3f5e,OUT,2,0.0,0xd8d131c3581f56f88d040b9872b950504bb6a8b01ad84bb872f1e99b3a045859,internal,call,0.32184406779661 Ether
